Title,Year,Abstract
[PDF] Structural modelling of riparian tree diversity and ecosystem degradation roles in determining the water quality of springs and its drains in East Java,2020,"This research was aimed to study the role of riparian trees and ecosystem degradation to
determine water quality in some springs and its channels located in East Java. The research …"
Effects of arbuscular mycorrhiza inoculation on growth and yield of tomato (Lycopersicum esculentum Mill.) under salinity stress,2015,"Objective of the research was to study the effect mycorrhiza on growth and yield of tomato.
The experiment was conducted in screen house 14 mx 10.5 m, in Pasuruan on November …"
[PDF] EFL Learning Strategies of Successful Students of Vocational Program At Universitas Brawijaya,2020,"… study aims to investigate kinds of learning strategies that have been implemented by successful
students majoring in Hotel Management at Vocational Program of Universitas Brawijaya. …"
"[PDF] Development of Community-Based Tourism in Pinusan Kragilan, Pogalan Village, Magelang Regency, Central Java, Indonesia",2019,"The purpose of this study is to describe community involvement in the development of
Kragilan Top Selfie Pinusan tourist destinations (TSPK) and explain the role of Tourism …"
Humification degree and its relationship with some soil physical characteristics on robusta coffee (Coffea canephora) plantation,2016,"Soil moisture stress in coffee plant impacts on the productivity of coffee fruit at PT. Perkebunan
Nusantara XII, it is because the low ability of the soil to store water. The ability of the soil to …"
Negative Marketing in the Cosmetics Industry: The Effect of Greenwashing Perceptions on Purchase Intention Through Brand Image,2022,"With the rise of the sustainable lifestyle movement, the Javanese people are becoming more
aware of the need to buy environmentally friendly products, especially cosmetics. The facts …"
The effect of juice mangosteen rind (Garcinia mangostana L.) to blood sugar levels and histological of pancreatic rats with the induction of streptozotocin,2014,"Diabetes Mellitus (DM) is a chronic metabolic disorder characterized by high blood sugar
levels as a result of insufficiency of insulin function. Xanton a bioactive compound in the …"
[PDF] Anti-implantation activity of kepel (Stelechocarpus burahol) pulp ethanol extract in female mice,2015,"Kepel (Stelechocarpus burahol) has been used as a contraceptive remedy in Indonesian
traditional Javanese royal family. It fruit contains a toxic substances to fetus. However, few …"
[PDF] The effect of biogas slurry and inorganic fertilizer on soil fertility and yield of cucumber (Cucumis sativus L.),2019,"Combining the application of organic manure with inorganic fertilizer treatment can improve
the productivity of the cucumber. Biogas slurry is synthesized from organic manure that can …"
DEM classifications: opportunities and potential of its applications,2019,"DEM is a digital model that provides topographic information. DEM can be made from
terrestrial surveys, aerial photography, video, optical, and radar satellites, LIDAR and multidata …"
"Community structure and biomass of reef fish concerning coral cover in Sempu Strait, East Java, Indonesia",2024,"… Marine Sciences, Universitas Brawijaya. Jl. Veteran, Malang 65145, East Java, Indonesia
… Coastal Resilience and Climate Change Adaptation Research Group, Universitas Brawijaya…"
[PDF] The role of local government for local product processing: the implication for tourism sustainability in Lok Baintan Floating Market,2019,"Lok Baintan floating market is the destination tourism in South Kalimantan Province. The
trader activity in the floating market becomes the attractiveness of tourism activity. The diversity …"
"Analysis Of The Effect Of Gross Regional Domestic Product, Education, Open Unemployment, Minimum Wages And Human Development Index On Poverty Of West …",2020,"Penelitian ini bertujuan untuk menganalisis pengaruh dari variabel independen, Produk
Domestik Regional Bruto, Pendidikan, Pengangguran Terbuka, Upah Minimum dan Indeks …"
[PDF] Application of organic matter to enhance phytoremediation of mercury contaminated soils using local plant species: a case study on small-scale gold mining …,2014,"The discharge of small-scale gold mine tailing to agricultural lands at Pesanggaran village
of Banyuwangi Regency caused soil degradation as indicated by reduced crop production. …"
[PDF] The influence of rice husk and tobacco waste biochars on soil quality,2017,"Heavy metal pollution in agricultural land threatens soil and food quality. Soil pollution could
be remediate using biochar, but the effectiveness of biochar on soil quality improvement is …"
A semiotic analysis on movie posters of Harry Potter and The Deathly Hallows,2013,"Poster film memiliki tujuan komersial sebagai media untuk mengiklankan film. Poster film
memberikan pandangan mengenai film tersebut.dalam studi ini Penulis memilih poster film …"
Ex-coal mine lands and their land suitability for agricultural commodities in South Kalimantan,2020,"Coal mining is carried out with an open system that is dredging topsoil, and then taken the
coal material. In 2016, the Indonesian Center for Agricultural Land Resources Research and …"
Effects of organic fertilizer and plant spacing on early-medium maturity soybean,2018,"Efforts to increase soybean productivity must be synergy with the improvement of soil fertility
through fertilizer, especially organic fertilizer. Population density of a crop determines to a …"
[PDF] Effects of lime and coffee husk compost on growth of coffee seedlings on acidic soil of Haru in Western Ethiopia,2020,"A pot experiment was conducted to determine the effects of lime, coffee husk compost and
their combinations on growth response of coffee (Coffea arabica L.) seedlings at Haru …"
"[PDF] City branding strategy on the evaluation of tourism destination problems in rural area (evidence from Pasuruan City, Indonesia)",2016,"This research find the essential problems of tourism destinations in rural area in Pasuruan
City, Indonesia. Based on the phenomenology method and using an open questionnaire, …"
Readiness and Perception of the Faculty of Cultural Studies Lecturers Universitas Brawijaya About the Implementation of Blended Learning,2020,"This article describes the lecturer readiness and teaching experience on the use of blended
learning. The mode of instruction is a combination of convensional or face to face instruction …"
[PDF] Composition and diversity of arbuscular mycorrhizal fungi spore associated with different land-use types in tropical gold mine,2020,"Understanding the composition and diversity of arbuscular mycorrhizal fungi (AMF) is
imperative for potentially enhancing their ecological role in different terrestrial ecosystems. Land …"
[PDF] Co-Ni/HZSM-5 catalyst for hydrocracking of Sunan candlenut oil (Reutealis trisperma (Blanco) airy shaw) for production of biofuel,2017,"The production of biofuel by hydrocracking of Sunan candlenut oil as renewable energy can
substitute fossil energy. The purpose of this work is to produce biofuel by hydrocracking of …"
Residual effect of potassium fertilizer and biochar on growth and yield of maize in the second season,2017,"Application of biochar can increase availability of plant nutrients and yield. A field experiment
was conducted on anInceptisol with aim to determineresidual potassium fertilizer and …"
"[PDF] Aquifer distribution and groundwater geochemistry in bojonegoro sub-district, bojonegoro district, east java province, Indonesia",2020,"Bojonegoro Sub-district is the capital of Bojonegoro District, East Java Province, Indonesia.
This area has quite high economic growth supported by large oil and gas reserves. An …"
"[PDF] Analysis of bird diversity for supporting ecotourism development in Rajegwesi, Meru Betiri National Park",2015,"Potential ecotourism attraction in Rajegwesi Village, Meru Betiri National Park is high due to
its high biodiversity, especially bird diversity, in the form of bird watching activity. This study …"
"[PDF] Plants diversity for ethnic food and the potentiality of ethno-culinary tourism development in Kemiren Village, Banyuwangi, Indonesia",2017,"Recent rapid grow of culinary tourism has significant potential contribution to enhancing
biodiversity conservation especially biodiversity of local plant species for local food and food …"
[PDF] Comprehensive integration system of saltwater environment on Rote Island using a multidisciplinary approach,2018,"Rote Island is one of the islands in southern of Indonesia. This region experiences very high
geological and geodynamic processes. This is evidenced by the abundance of seabed …"
"[PDF] … behavior, professional commitment, and anticipatory socialization on whistle blowing intention (empirical study of accounting students at Universitas Brawijaya)",2019,"… The population in this study is accounting students of Universitas Brawijaya. This research
used primary data that are collected by offline questionnaire distribution. To examine the …"
[PDF] Comparative assessment of The Effect of Moringa oleifera Leaf Extract (MLE) and Zeatin on invitro Regeneration Response of Pogostemon cablin Bud Explants,2021,"… This study was carried out in the tissue culture laboratory, Faculty of Agriculture of Universitas
Brawijaya, Malang East Java from June 2019 to March 2020. The materials used included …"
Potential use of soil-born fungi isolated from treated soil in Indonesia to degrade glyphosate herbicide,2014,"The glyphosate herbicide is the most common herbicides used in palm-oil plantations and
other agricultural in Indonesial. In 2020, Indonesian government to plan the development of …"
"[PDF] Perception of tourist towards the potential development of Tumpa Mountain area as integrated ecotourism, Manado, North Sulawesi Province",2015,"Tumpa is the name of mountain located at the northern part of the Manado City region which
bordering The National Park of Bunaken. As a mountainous region with a height of±623m (…"
"[PDF] Community participation in festival and digital tourism campaign (Case of North Halmahera District, Indonesia)",2019,"Galela community participation in the implementation of the Festival Tanjung Bongo (FTB)
shows the existence of a partnership pattern in accordance with pentahelix elements. This …"
The Effect of Perceived Risk and Trust Toward Behavioral Intention to Use (A Study to Shopee Application Users in Surabaya),2019,"Belanja online telah menjadi tren baru di era 2010, dan penting untuk memilih toko online
tepercaya baik dalam aplikasi atau situs web. Satu hal yang dapat dipertimbangkan ketika …"
[PDF] A preliminary study on the treatment of restaurant wastewater using electrocoagulation technique,2020,"Restaurant Wastewater (RW) is characterized by high volume and strength, with minimal
treatment before its release into the environment. Electrocoagulation (EC) could be a better …"
[PDF] Effect of long of landuse and cropping system on soil fertility and cassava yield,2018,"A study that was aimed to determine the influence of long of land use and cropping systems
on soil fertility and yield of cassava conducted at centre of cassava in Sukadana Subdistrict, …"
[PDF] Policy determination in E-budgeting implementation by the government of DKI Jakarta–Indonesia,2021,"This research discusses and analyzes the deep comprehensiveness of the process of
determining and implementing the E-Budgeting Policy by the Government of the Jakarta Migrant …"
Investigating the image of Japanese food on intention of behavior: Indonesian intention to visit Japan,2014,"Country-of-Origin Image (COI) has been recognized as a possible factor to influence the
image of product especially toward international products. COI occurred due to the consumer’s …"
[PDF] Bioactive compound from mangoes leaves extract as potential soil bioherbicide to control amaranth weed (Amaranthus spinosus Linn.),2017,"Bioherbicide is important approach for sustainable farming practices. One of plant that has
potentially as bioherbicide, which is environmentally safe, is mango. Mango leaf extract is …"
Characteristics of Lusi mud volcano and its impacts on the Porong River,2014,"Since the first gas and mud volcano spewed from well at Sidoarjo, East Java, Indonesia (called
Lusi or Lapindo mud) in 2006, its keep flowing ever since. Despite the occurrence of Lusi …"
Presuppositions In Green Campaign Stickers Issued By International Association Of Students In Agriculture And Related Sciences Of Universitas Brawijaya,2014,"… stiker kampanye hijau di IAAS Universitas Brawijaya. Ada 2 … hijau milik oleh IAAS Universitas
Brawijaya? dan (2) … kampanye hijau milik oleh IAAS Universitas Brawijaya?. Penelitian ini …"
[PDF] Application of analytic hierarchy process and geographic information system techniques in flood risk assessment: a case of Ofu river catchment in Nigeria,2018,"Flood risk assessment of Ofu River Catchment in Nigeria was carried out by integration of
thematic maps in ArcGIS 10.2. 2. Analytic Hierarchy Process (AHP) was applied in the decision …"
[PDF] Utilization of oil palm empty bunches waste as biochar-microbes for improving availability of soil nutrients,2016,"There are about 23% waste oil palm empty fruit bunches (OPEFB) of total waste generated
from the production of crude palm oil in oil palm plantations. Pyrolysis technology can be …"
[PDF] The effect of comic as an introduction media of Bali cattle in Universitas Brawijaya,2019,"… The purpose of this research is to find out Universitas Brawijaya students’ knowledge change
regarding Bali cattle after receiving comic intervention as a media exposure. The research …"
[PDF] The local mineral potential from East Lampung-Indonesia: the use of basalt rock as a stone meal for cassava plant,2019,"Indonesia has an abundant amount of basalt rocks resources, including in East Lampung
Regency of Lampung Province. This basalt has not been used optimally and only be used as a …"
[PDF] Nepenthes as tourism flagship species: the conservation strategies in Dayak Seberuang Settlements Area,2017,"The aims of this research are to formulate the conservation strategies of lowland Nepenthes
based on conservation status analysis, distribution map, and conceptualizing Nepenthes as …"
"[PDF] The Influence Of Corporate Social Responsibility (Csr), Profitability, And Firm Size On Firm Value (A Study On Jakarta Islamic Index In The Period Of 2014-2018 …",2020,"… Undergraduate Program Faculty of Economics and Business Universitas Brawijaya. … Si.,
Ak as the Head of Undergraduate Program in Accounting Universitas Brawijaya Malang; …"
"[PDF] The study of development of urban farming agrotourism Subak-Irrigation-Based in Sanur tourism area, Denpasar City, Bali",2018,"This study aims to study the development of urban farming agrotourism planning in Sanur
Tourism area. The approach used the Participatory Rural Appraisal (PRA), which is an …"
[PDF] The Difficulties of writing descriptive text for junior high schoolers,2022,"When the pandemic still exists in Indonesia, all schools require hybrid learning for students
who attend school and online learning for those who do not. It forced educational institutes, …"
"Reliability of using high-resolution aerial photography (red, green and blue bands) for detecting available soil water in agricultural land",2020,"The need for irrigation water is influenced by soil water content or more precisely by
available water (pF 2.5 and pF 4.2). There is a need for technological breakthroughs in using …"
Optical Properties of Nd3+ Doped Phosphate Glasses at 4F3/2-4I11/2 Hypersensitive Transitions,2016,"The lasing transition 4F3/2®4I11/2 for Nd3+ doped phosphate glass centered around 1.05
– 1.07mm is referred as hypersensitive transition. The radiative properties such as effective …"
[PDF] Soil characteristics of post-mining reclamation land and natural soil without top soil,2020,"Generally, Nickel mining was conducted by the open-pit mining method which caused change
of soil physical, chemical and biological properties. Reclamation land often experienced …"
The Influence Of Brand Image And Promotional Mix Toward Users' Repurchase Intention Of Telecommunication Provider (A Case Study Of Smartfren Users In …,2014,"… kembali oleh pengguna Smartfren di Universitas Brawijaya.Analisis data pada penelitian ini
… kembali pengguna Smartfren di Universitas Brawijaya.Dengan mempertahankan salah satu …"
"[PDF] Exploration of herpetofauna habitat as tourism attraction: ecology, preferences, and potentials",2018,"Herpetofauna (Class: Reptilia, Amphibia) has potential value as tourist attraction and its
sustainability could be preserved by ecotourism program. We propose a new fauna-based …"
Quality assessment of mangrove growing environment in Pasuruan of East Java,2017,"The occurrence of pollution in mangrove land is due to changes in physical, chemical and
biological properties of water because of the increasing human activities that produce …"
"[PDF] Poverty and tourism: strategies and opportunities in Karimunjawa Island, Central Java",2017,"This article analyzes the strategies of Pro-Poor Tourism (PPT), ie the strategies to increase
the benefits for poor people from tourism development. It explained the view that tourism, on a …"
Estimation The Size Of Underground Economy And Tax Potential Loss In Indonesia From 2000–2017,2019,"Produk Domestik Bruto (PDB) merupakan ukuran yang masih dianggap paling tepat untuk
memproyeksikan performa ekonomi di suatu negara. Namun GDP mempunyai kelemahan …"
Adsorption of lead and copper using water hyacinth compost (Eichornia Crassipes),2014,"Adsorption ofheavy metals Pb and Custudies have been carried out usinga compost of
plant water hyacinth (Eichornia crassipes). First steps of the compostingis fermenting fresh …"
… Based Differences In Compliment Responses Used By 8 th Semester Students Of English Department Program AT Faculty Of Cultural Studies Universitas Brawijaya,2015,"… semester 8 Fakultas Ilmu Budaya Universitas Brawijaya? (2) … Inggris di Fakultas Ilmu Budaya
Universitas Brawijaya. Penulis … mahasiswa Fakultas Ilmu Budaya Universitas Brawijaya. …"
"[PDF] Plants as natural dyes for jonegoroan batik processing in Jono cultural tourism village, Bojonegoro, East Java",2015,"Batik Jonegoroan is one of the potential tourism product in Jono Village, Bojonegoro. Batik
was processed by traditional procedure using natural dyes from plants. In order to preserve …"
"[PDF] Climate variability, communities' perceptions and land management strategies in Lay Gayint Woreda, Northwest Ethiopia",2018,"Climate variability is the fluctuation of climate elements from the normal values making the
agrarian communities of Ethiopia the most sensitive social groups to its hazards. The …"
"[PDF] The potential of wild vegetation species of Eleusine indica L., and Sonchus arvensis L. for phytoremediation of Cd-contaminated soil",2017,"Phytoremediation has been intensively studied due its costs effectiveness and environmentally
sound. Studies of heavy metal pollution phytoremediation has been done in develop …"
"[PDF] The Floating Market of Lok Baitan, South Kalimantan",2016,"Tourism plays an important role in the development of local economic. Tourism has been
reported contributes significantly in the local development. Floating market in South …"
MDA and histologic profile of pancreatic diabetic-rats model administered with extract of Glycine max (L.) Merr,2016,"Diabetes Mellitus is characterized by leveling up glucose in human blood and affects
increasing of free radicals in body as well as leading to cellular oxidative stress. Experimentally, …"
"Knowledge, action, perception and attitude of management of talangagung landfill toward edu-tourism program: A community perspective",2018,"This study aimed to determine the knowledge, action, perception, and attitude of landfill
managers and community to Talangagung landfill program as an edu-tourism destination in …"
[PDF] The effect of soil tillage system and weeding time on the growth of weed and yield of soybean (Glycine max (L.) Merril),2018,"The growth and yield of soybeans can decrease due to competition from weeds. Various
efforts have been made to control the growth of weeds such as land preparation and weeding …"
Effect of organic fertilizer and its residual on cowpea and soybean in acid soils,2017,"The expansion of planting areas on acid soils is one of the strategies to achieve Indonesian
self-sufficiency program on food. Acidic soil has low pH that causes contents of Al, Fe, and …"
"[PDF] Environmental damage assessment due to traditional mining on local scale in the Wungkal Hills, Yogyakarta-Indonesia",2020,"Environmental damage due to mining activities has now become an international issue as
its regional and global assessments are widely reported from various mining commodities. …"
[PDF] Tourism impact on conservation and utilization of Borobudur temple after being declared as ten new Bali tourist destination in Indonesia,2020,"Borobudur as a world heritage site is one of 10 New Bali Tourist Destination or 10 Priority
Tourist Destination in Indonesia. The problem arises as government’s aim to attract tourists as …"
A study on brown seaweed therapy (Sargassum sp.) toward MDA levels and histological improvement on rat foot suffering rheumatoid arthritis,2013,"Rheumatoid arthritis (AR), an autoimun disease, is characterized by the inflammation in the
joint area caused an excessive of free radicals. An excessive of free radicals in the body …"
The influence of brand awareness and brand image on purchase decision (Study on Aqua consumers in Administrative Science Faculty Brawijaya University Class of …,2013,"This research aims:(1) To examine the partial influence of Brand Awareness on Purchase
Decision.(2) To examine the partial influence of Brand Image on Purchase Decision.(3) To …"
Conservation and production impacts of soil and water conservation practices under different socio-economic and biophysical setting: a review,2019,"In Ethiopia, the increase in land degradation mainly in the form of soil erosion necessitates
implementation of soil and water conservation (SWC) practices. So far impact evaluation …"
[PDF] Application of wood vinegar coconut shell and NPK fertilizer to maintain sustainable agriculture of upland rice production,2018,"Objective of this study was to know the effect of NPK fertilizer and wood vinegar coconut shell
on upland rice yield and, pest and disease intensity. Inpago Unsoed 1 was a main object …"
Students' Perception on The Use of English Subtitled Video in Vocabulary Learning at English Language Education Program on Batch 2017 Universitas Brawijaya,2019,"… persepti pelajar dalam penggunaan video bersubtitle bahasa Inggris untuk belajar kosakata
di Program Studi Pendidkan Bahasa Inggris angkatan 2017 Universitas Brawijaya. Studi ini …"
Correlation between Self-Regulation Learning Strategy and Receptive Vocabulary Size of English Department Students at Universitas Brawijaya.,2017,"Penelitian ini bertujuan untuk mengetahui hubungan dari strategi pembelajaran self-regulation
dan jumlah kosakata reseptiv dari mahasiswa jurusan Bahasa Inggris di Univerxitas …"
[PDF] Treatment of compost as a source of organic material for bacterial consortium in the removal of sulfate and heavy metal lead (Pb) from acid mine drainage,2021,"Article history: Received 25 June 2021 Accepted 22 July 2021 Published 1 October 2021
Acid mine drainage can pollute the environment because it is acidic and contains toxic heavy …"
… Feedback Used by the Lecturer and Students Preference on its Feedback: An Analysis in English Course of Anthropology Study Program Universitas Brawijaya,2019,"Penelitian ini dilakukan berdasarkan masalah yang dialamai oleh kebanyakan mahasiswa
jurusan non-Bahasa Inggris dalam mengembangkan keterampilan berbicara Bahasa Inggris…"
[PDF] The challenges of developing tourism events in Bromo Tengger Semeru National Park,2018,"Tourism in Bromo Tengger Semeru National Park has been considered important for national
earning and local community development. As a conservation area, the development of …"
Optimization of 5G NR Network Based on Performance of 4G LTE Network in Area of Universitas Brawijaya Malang,2022,"… condition of the 4G LTE network in the Universitas Brawijaya Malang area is said to be good
… using NR technology in the area of Universitas Brawijaya, Malang, the results obtained are …"
Word Association Responses and their Relationship with Lexical Storage: A Case Study of Word Association Test on Japanese Study Program Students University of …,2011,"Penyimpanan kata membahas mengenai bagaimana suatu kata disimpan di dalam otak.
Ada beberapa penelitian mengenai penyimpanan kata pada penutur asli dan pembelajar …"
[PDF] Phytoextraction to promote sustainable development,2013,"Mining makes a positive contribution to the economy of Indonesia. Significant earnings accrue
through the export of tin, coal, copper, nickel and gold. Of these commodities, gold carries …"
[PDF] Evaluating environmental service of Trisula Waterfall as nature-based tourism attraction in Bromo Tengger Semeru National Park,2017,"Tourism activity in Trisula waterfall (locally called Coban Trisula) is growing significantly.
The environmental management is important to perform the sustainable use of waterfall as …"
Association between the effectiveness and immunogenicity of inactivated SARS-CoV2 vaccine (CoronaVac) with the presence of hypertension among health care …,2022,"Objective This study aimed to observe the association between the presence of hypertension
with Covid-19 vaccine effectiveness among healthcare workers who received CoronaVac …"
Application of perennial legume green manures to improve growth and yield of organic lowland rice,2016,"A pot experiment in green house was done to study the effect of the dosage and speciesof
perennial legume green manures to the physiological traits, growth and yield of organic …"
"The Influence of System Quality, Information Quality, and Service Quality on User Satisfaction of Grab Application Transportation (Survey on University of Brawijaya …",2019,"… Teknik pengambilan sampel pada penelitian ini menggunakan purposive sampling berjumlah
100 responden dari mahasiswa Universitas Brawijaya dengan menentukan beberapa …"
[PDF] The potential of exopolysaccharide-producing bacteria from rhizosphere of rubber plants for improving soil aggregate,2018,"This study aimed to examine the effect of bacteria found in the rhizosphere of rubber plants
in producing exopolysaccharides to improve aggregate stability of sandy soils. Samples of …"
"Relationship between land degradation, biophysical and social factors in Lekso Watershed, East Java, Indonesia",2018,"Degraded lands are getting extensive worldwide. Even its existence has projected as a
solution to fulfill agricultural land scarcity to meet the global demands of food and other …"
[PDF] Improving the accuracy and reliability of land use/land cover simulation by the integration of Markov cellular automata and landform-based models _ a case …,2019,"Land use/land cover (LULC) is one of the important variables affecting human life and the
physical environment. Modelling of change in LULC is an important tool for environmental …"
[CITATION] … and Drying Duration toward Psychochemical Characteristic of Biodegradable Plastic from Starch Composite of Aloevera–Chitosan: Universitas Brawijaya,2013,
Effects of organic matter application on methane emission from paddy fields adopting organic farming system,2015,"A study that was aimed to determine the effect of the use of organic manure and azolla on
methane emission on paddy field of organic systems was conducted on paddy fields in the …"
Effect of land use and organic matter on nitrogen and carbon labile fractions in a Typic Hapludult,2017,"A study that was aimed to determine the effect of organic matter from groundnut and maize
biomass on the availability of N and C labile fraction was conducted in laboratory and …"
"[PDF] Relationship between soil morphology and variability of upland degradation in Bogowonto Watershed, Central Java, Indonesia",2020,"Land-use change and lack of conservation in Bogowonto Watershed area have caused land
degradation due to erosion and landslides. The rate of land degradation can be measured …"
[HTML] Global prevalence and potential influencing factors of COVID-19 vaccination hesitancy: a meta-analysis,2022,"Countries worldwide have deployed mass COVID-19 vaccination drives, but there are
people who are hesitant to receive the vaccine. Studies assessing the factors associated with …"
The Influence Of Profitability and Capital Structure on Firm Value (Study on Manufacturing Industries Listed at Indonesia Stock Exchange for Periods 2008-2012),2014,"Penelitian ini berusaha memberikan pengaruh pada nilai perusahaan dengan profitabilitas
dan modal yang digunakan struktur sebagai variabel. Analisis ditandai pada semua 505 …"
"[PDF] Mitigation of land degradation at Juana watershed, Central Java",2014,"Land degradation became more and more widespread, especially in areas with a dense
population and dependence on agriculture is high enough. Land degradation can be …"
Effectiveness of organic wastes and forages to increase soil fertility status and crop yield in dry lands,2014,"The main purpose of this study was to elucidate the effects of application of organic wastes
and rotation of cropping system on soil fertility status and yields of dry field rice, maize, …"
[PDF] Effect of arbuscular mycorrhizal fungi on the potential of three wild plant species for phytoextraction of mercury from small-scale gold mine tailings,2016,"A study that was aimed to explore the effects of arbuscular mycorrhizal (AM) fungi inoculation
on the potential of wild plant species (Paspalum conjugatum, Cyperus kyllingia, and …"
[PDF] Lead and chromium removal from leachate using horsetail (Equisetum hyemale),2014,"Phytoremediation has been widely used for wastewater treatment technology. Horsetail was
investigated for its capacity to remediate lead and chromium in leachate. This plant seemed …"
Assessing The Effect of Learning Service Quality on Customer Retention Through Customer Satisfaction as Mediation Variable in The Culinary Study Program …,2023,"This quantitative study explores the relationship between online learning service quality,
customer satisfaction, and customer retention in the Culinary Study Program during the Covid-…"
The influence of financial ratio towards stock price (Empirical study on listed companies in Indonesia Stock Exchange of LQ45 in 2009-2011),2012,"Semakin terbukanya perekonomian dunia termasuk perekonomian Indonesia membuat
pertumbuhan investasi di Indonesia telah mencapai kemajuan yang pesat. Kemajuan ini …"
[PDF] Review of the occurrence and structural controls of Baryte resources of Nigeria,2018,"Baryte occurrences in Nigeria are spread across the Cretaceous Benue Trough which
comprises of carbonaceous shales, limestone, siltstones, sandstones as well as in the …"
"[PDF] Hydroseeding application using pioneer local plant seeds for coal postmining soil in Tanah Laut Regency, South Kalimantan",2018,"The research aimed to determine pioneer local plant seeds germination and growth on coal
postmining soil, and to determine optimal mulch for producing great productivity. The …"
"Phytoremediation of Pb contaminated paddy field using combination of Agrobacterium sp. I3, compost and ramie (Boehmeria nivea)",2018,"Industry sector exerts a negative effect on the environment. Industrial waste is often
disposed to the rivers. The industry contributes to the accumulation of heavy metals in the …"
"[PDF] Effect of liming, manure, and NPK fertilizer application on growth and yield performance of soybean in swamp land",2016,"Increased productivity and the expansion of planting area to potential land are two strategies
to increase soybean production. Swamp land is one of potential land. Acidic soil, poor …"
[PDF] A Study on Reading Strategies Used by 11th Grade Students of SMA Brawijaya Smart School Universitas Brawijaya Malang,2014,"… This study is aimed at finding out the kinds of reading strategies, the most frequently used
reading strategy, and the significant difference of reading strategy between science and social …"
An Analysis on Language Function in Utterances Produced by Carl to Russell in Movie Up,2013,"Dalam Kehidupan Sehari-hari, People Berinteraksi Satu Sama Lain Dengan Menggunakan
Bahasa. Melalui Bahasa, Orang Berbagi Informasi, Ide, Atau Perasaan Satu Sama Lain. …"
[PDF] The potential of Arachis pintoi biomass to improve quality of soil continuously used for cassava cropping,2014,"A field experiment that was aimed to elucidate the effects of application of Arachis pintoi
biomass and animal dung on quality of soil continuously used for cassava cropping was …"
[PDF] Utilization of biochar and Trichoderma harzianum to promote growth of shallot and remediate lead-contaminated soil,2021,"Article history: Received 2 January 2021 Accepted 3 March 2021 Published 1 April 2021
This study aimed to determine the effect of biochar and Trichoderma harzianum toward lead …"
Price perception: effect of coupon proneness and sale proneness on consumer impulse buying,2018,"The purpose of this research is to find out the consumer's price perception by considering two
factors that are Coupon Proneness and Sale Proneness in order to know its influences on …"
[PDF] Regional Economics: How does Tourism Influence Regional Revenue of Malang Raya?,2018,"This paper aims to analyze the influence of tourism sector to regional revenue of Malang Raya.
In this case, tourism sector used the number of tourist arrival, hotel’s room occupancy rate…"
A Study on register used by the prostitutes community in the book surabaya double cover sex in the city,2012,"Sebagai homo socius, manusia menggunakan bahasa untuk berinteraksi (Ilmiyati, 2011,
para.7). Ada dua tipe utama variasi dalam bahasa. Pertama berdasarkan pengguna bahasa, …"
To what extent is leader-member exchange and psychological safety able to influence counterproductive work behavior? Evidence from the hospitality industry in …,2020,"Counterproductive work behavior (CWB) is a form of behavioral and unethical deviation that
can threaten the existence of companies including the hotel industries that uphold the …"
The prediction of heavy metals lead (Pb) and zinc (Zn) contents in soil using NIRs technology and PLSR regression method,2018,"The case of soil contamination by heavy metals in environment shows an increasing amount
along with the constructions and development period that has been done. The identification …"
Temperature effect of crystalinity in cellulose nanocrystal from oil palm empty fruit bunch (OPEFB) using sonication-hydrothermal methods,2017,"Production of cellulose nanocrystals (CNCs) from cellulose of oil palm empty fruit bunches (OPEFB)
have been done. The delignification of OPEFB was mixed with 17, 5% NaOH and …"
"Waste management of shrimp farms as starting point to develop integrated farming systems (case study: Kuwaru Coast, Bantul, Yogyakarta, Indonesia)",2015,"Intensive waste management is a solution to maintain an area of ecological harmony but
still can produce economic benefits that are beneficial to social welfare. So in this research, …"
[PDF] Impact of maize conservation agricultural system on nitrogen losses through surface runoff and soil erosion in dryland,2019,"Nutrient loss in dry land through surface runoff and soil erosion is thought to dominate the
watershed eutrophication. Conservation agriculture is expected to be able to reduce the …"
The physicochemical properties of white sorghum (Sorghum bicolor L.) flour in various particle sizes by Soaking the seeds before and after dehulling,2021,"Sorghum seeds have good nutrition for human health. Therefore, preparation for food
needs to be done by various methods. This study aimed to investigate the physicochemical …"
"[PDF] Interpretation of sustainability factor in wonorejo mangrove ecotourism, surabaya, indonesia",2018,"Mangrove Ecotourism Wonorejo Forest (EHMW) is designed by the Surabaya City’s government
to have some aspects of nature and education to conservation that may help to save the …"
[PDF] Water harvesting technologies in semi-arid and arid areas,2019,"With the increases in world population, the demand for natural resource like water also
increases. Groundwater and surface resources have been used are being utilized quicker than …"
Improvement of sweet potato yield using mixtures of ground fish bone and plant residues,2017,"The Indonesian government begins to promote food diversification program. The government
expects the Indonesian people can consume food crops other than rice, such as wheat, …"
[PDF] Nitrogen and phosphorus fertilization for groundnut in saline soil,2018,"Groundnut cultivation on saline soil facing complex problems associated with high electrical
conductivity (EC), toxic effects of Na cation, imbalance nutrients, and N and P deficiency. …"
[PDF] Effect of amelioration on growth and yield of two groundnut varieties on saline soil,2016,"Productivity of agricultural land in coastal area is limited by salinity. Planting tolerant variety
combined with amelioration is an effective management to increase productivity of salt …"
"[PDF] The role of volunteer for the management of conservation-based ecotourism in Clungup Mangrove Conservation Tambakrejo Village, Sumbermanjing Wetan …",2018,"Clungup Mangrove Conservation (CMC) is the coastal area with the most complete
ecosystem in Malang District. Since 2014, this place started to be known as the area of the …"
